seconds,	voltage
6.055846,	146.598270	
7.705849,	146.597360	
9.115851,	146.597110	
10.525847,	146.597110	
11.935846,	146.597110	
13.345848,	146.596980	
14.755842,	146.596980	
16.165844,	146.596980	
17.575843,	146.596460	
18.985851,	146.596590	
20.395854,	146.596460	
21.805850,	146.596460	
23.215842,	146.596330	
24.625843,	146.596200	
26.035845,	146.596330	
27.445846,	146.596460	
28.855845,	146.596330	
30.265842,	146.596330	
31.675846,	146.595810	
33.085846,	146.396420	
34.495845,	144.961260	
35.905845,	144.914480	
37.315842,	144.884890	
38.725844,	144.859690	
40.135844,	144.836950	
41.545848,	144.816270	
42.955848,	144.796500	
44.365850,	144.777760	
45.775849,	144.760700	
47.185843,	144.744030	
48.595849,	144.727880	
50.005848,	144.712240	
51.415846,	144.697250	
52.825839,	144.683170	
54.235850,	144.669340	
55.645847,	144.655900	
57.055855,	144.642980	
58.465843,	144.630190	
59.875845,	144.617010	
61.285838,	144.605250	
62.695849,	144.593870	
64.105851,	144.582500	
65.515848,	144.571650	
66.925838,	144.560540	
68.335843,	144.549940	
69.745853,	144.539730	
71.155845,	144.529390	
72.565844,	144.519180	
73.975850,	144.509620	
75.385854,	144.500190	
76.795845,	144.490620	
78.205851,	144.481320	
79.615849,	144.472400	
81.025850,	144.463490	
82.435852,	144.454830	
83.845847,	144.446170	
85.255845,	144.437380	
86.665848,	144.429240	
88.075879,	144.420840	
89.485851,	144.412960	
90.895849,	144.404430	
92.305850,	144.397070	
93.715847,	144.389440	
95.125845,	144.381560	
96.535848,	144.374060	
97.945846,	144.366700	
99.355857,	144.359200	
100.765849,	144.352360	
102.175849,	144.345120	
103.585848,	144.338270	
104.995853,	144.331550	
106.405847,	144.324310	
107.815852,	144.317590	
109.225847,	144.310870	
110.635857,	144.304280	
112.045847,	144.297690	
113.455843,	144.291360	
114.865840,	144.285290	
116.275842,	144.278960	
117.685843,	144.272620	
119.095840,	144.266290	
120.505852,	144.260220	
121.915849,	144.254270	
123.325856,	144.248330	
124.735846,	144.242510	
126.145842,	144.236310	
127.555844,	144.230880	
128.965847,	144.225200	
130.375840,	144.219510	
131.785848,	144.213830	
133.195849,	144.208270	
134.605859,	144.202970	
136.015842,	144.196380	
137.425840,	144.191080	
138.835843,	144.185660	
140.245850,	144.180490	
141.655849,	144.175320	
143.065850,	144.170020	
144.475842,	144.165370	
145.885842,	144.160070	
147.295849,	144.155420	
148.705844,	144.149990	
150.115841,	144.145080	
151.525857,	144.140170	
152.935844,	144.135000	
154.345848,	144.130090	
155.755849,	144.125440	
157.165848,	144.120530	
158.575848,	144.115880	
159.985850,	144.111090	
161.395851,	144.106440	
162.805846,	144.101790	
164.215847,	144.097010	
165.625845,	144.092490	
167.035852,	144.087580	
168.445848,	144.083180	
169.855848,	144.078660	
171.265848,	144.074270	
172.675850,	144.069870	
174.085859,	144.064830	
175.495844,	144.060700	
176.905850,	144.056300	
178.315847,	144.051780	
179.725847,	144.047900	
181.135839,	144.043250	
182.545841,	144.039250	
183.955842,	144.034720	
185.365842,	144.030590	
186.775845,	144.026060	
188.185849,	144.021670	
189.595846,	144.017920	
191.005841,	144.013530	
192.415853,	144.009390	
193.825847,	144.005130	
195.235848,	144.001000	
196.645848,	143.997120	
198.055845,	143.992850	
199.465843,	143.989240	
200.875848,	143.984970	
202.285847,	143.981090	
203.695842,	143.977090	
205.105848,	143.972950	
206.515844,	143.968950	
207.925855,	143.964940	
209.335852,	143.961190	
210.745851,	143.957190	
212.155845,	143.953180	
213.565855,	143.949690	
214.975852,	143.945690	
216.385847,	143.942330	
217.795847,	143.938190	
219.205856,	143.934440	
220.615851,	143.930700	
222.025845,	143.926950	
223.435845,	143.923200	
224.845846,	143.919450	
226.255845,	143.915710	
227.665844,	143.912220	
229.075850,	143.908210	
230.485849,	143.904850	
231.895859,	143.900850	
233.305843,	143.897230	
234.715848,	143.893740	
236.125844,	143.890120	
237.535849,	143.886500	
238.945846,	143.882760	
240.355845,	143.879400	
241.765846,	143.875910	
243.175846,	143.871770	
244.585849,	143.868670	
245.995848,	143.864920	
247.405849,	143.861300	
248.815851,	143.857810	
