time,voltage,current
0.000000,3.446877,0.500452
0.519950,3.445288,0.500492
1.039973,3.444827,0.500492
1.559966,3.444463,0.500479
2.079966,3.444145,0.500479
2.599970,3.443852,0.500479
3.119940,3.443578,0.500479
3.639955,3.443318,0.500466
4.159953,3.443069,0.500492
4.679967,3.442825,0.500492
5.200007,3.442590,0.500492
5.719973,3.442362,0.500479
6.239994,3.442141,0.500479
6.759966,3.441924,0.500505
7.279969,3.441714,0.500492
7.799955,3.441506,0.500479
8.319965,3.441305,0.500479
8.840028,3.441109,0.500479
9.359970,3.440913,0.500479
9.879974,3.440726,0.500492
10.399967,3.440535,0.500505
10.919961,3.440353,0.500452
11.439968,3.440170,0.500466
11.959982,3.439990,0.500479
12.479969,3.439813,0.500505
12.999974,3.439642,0.500505
13.520014,3.439469,0.500492
14.039965,3.439301,0.500452
14.559984,3.439137,0.500505
15.079971,3.438971,0.500492
15.599972,3.438807,0.500387
16.119935,3.438647,0.500479
16.639960,3.438492,0.500505
17.159950,3.438335,0.500479
17.679947,3.438180,0.500479
18.199971,3.438029,0.500492
18.719970,3.437874,0.500492
19.239971,3.437728,0.500479
19.759979,3.437576,0.500479
20.279981,3.437433,0.500479
20.799973,3.437288,0.500505
21.319971,3.437148,0.500479
21.840011,3.437003,0.500492
22.359963,3.436861,0.500518
22.879966,3.436727,0.500466
23.399971,3.436587,0.500492
23.919967,3.436448,0.500518
24.439971,3.436316,0.500479
24.959980,3.436184,0.500479
25.479978,3.436048,0.500505
25.999971,3.435919,0.500505
26.519970,3.435788,0.500479
27.039975,3.435660,0.500466
27.559977,3.435532,0.500518
28.079975,3.435405,0.500505
28.599976,3.435281,0.500452
29.119970,3.435153,0.500466
29.639978,3.435030,0.500479
30.159966,3.434909,0.500531
30.679969,3.434788,0.500492
31.199970,3.434665,0.500479
31.719968,3.434544,0.500479
32.239989,3.434429,0.500505
32.759968,3.434309,0.500505
33.279974,3.434196,0.500466
33.799961,3.434077,0.500492
34.319963,3.433962,0.500479
