time,voltage_drain,voltage_actual,current
14908.713843,3.974544,,0.000000
14908.713843,,4.174820,0.000000
14950.577870,3.962143,,0.000000
14950.577870,,4.162562,0.000000
14992.434026,3.953327,,0.000000
14992.434026,,4.153817,0.000000
15034.289857,3.946374,,0.000000
15034.289857,,4.146793,0.000000
15076.125858,3.940066,,0.000000
15076.125858,,4.140556,0.000000
15117.905866,3.934475,,0.000000
15117.905866,,4.134822,0.000000
15159.749843,3.929457,,0.000000
15159.749843,,4.129518,0.000000
15201.569856,3.924654,,0.000000
15201.569856,,4.124643,0.000000
15243.405883,3.920139,,0.000000
15243.405883,,4.120056,0.000000
15285.249854,3.915981,,0.000000
15285.249854,,4.115611,0.000000
15327.093877,3.911824,,0.000000
15327.093877,,4.111382,0.000000
15368.973878,3.908024,,0.000000
15368.973878,,4.107512,0.000000
15410.825880,3.904154,,0.000000
15410.825880,,4.103497,0.000000
15452.665876,3.900641,,0.000000
15452.665876,,4.099985,0.000000
15494.537886,3.897057,,0.000000
15494.537886,,4.096401,0.000000
15536.393897,3.893688,,0.000000
15536.393897,,4.092817,0.000000
15578.233896,3.890176,,0.000000
15578.233896,,4.089376,0.000000
15620.081876,3.887022,,0.000000
15620.081876,,4.086151,0.000000
15661.961842,3.883725,,0.000000
15661.961842,,4.082710,0.000000
15703.801867,3.880642,,0.000000
15703.801867,,4.079413,0.000000
15745.645912,3.877202,,0.000000
15745.645912,,4.075972,0.000000
15787.449862,3.874120,,0.000000
15787.449862,,4.072675,0.000000
15829.289893,3.871037,,0.000000
15829.289893,,4.069592,0.000000
15871.101854,3.867597,,0.000000
15871.101854,,4.066152,0.000000
15912.945868,3.864443,,0.000000
15912.945868,,4.062711,0.000000
15954.741913,3.861002,,0.000000
15954.741913,,4.059127,0.000000
15996.545825,3.857490,,0.000000
15996.545825,,4.055687,0.000000
16038.389854,3.854121,,0.000000
16038.389854,,4.052174,0.000000
16080.213861,3.850465,,0.000000
16080.213861,,4.048590,0.000000
16122.049852,3.846809,,0.000000
16122.049852,,4.044791,0.000000
16163.921867,3.843010,,0.000000
16163.921867,,4.041064,0.000000
16205.753857,3.839283,,0.000000
16205.753857,,4.037193,0.000000
16247.601833,3.835555,,0.000000
16247.601833,,4.033179,0.000000
16289.473853,3.831613,,0.000000
16289.473853,,4.029451,0.000000
16331.337872,3.827814,,0.000000
16331.337872,,4.025437,0.000000
16373.193876,3.823800,,0.000000
16373.193876,,4.021423,0.000000
16415.020690,3.819857,,0.000000
16415.020690,,4.017337,0.000000
16456.797858,3.815987,,0.000000
16456.797858,,4.013323,0.000000
16498.605869,3.811758,,0.000000
16498.605869,,4.009166,0.000000
16540.425876,3.807815,,0.000000
16540.425876,,4.005080,0.000000
16582.284666,3.803801,,0.000000
16582.284666,,4.000851,0.000000
16624.128714,3.799787,,0.000000
16624.128714,,3.996765,0.000000
16665.973895,3.795701,,0.000000
16665.973895,,3.992751,0.000000
16707.757864,3.791615,,0.000000
16707.757864,,3.988809,0.000000
16749.581850,3.787601,,0.000000
16749.581850,,3.984651,0.000000
16791.441886,3.783659,,0.000000
16791.441886,,3.980565,0.000000
16833.281866,3.779716,,0.000000
16833.281866,,3.976551,0.000000
16875.137872,3.775631,,0.000000
16875.137872,,3.972537,0.000000
16917.001876,3.771688,,0.000000
16917.001876,,3.968523,0.000000
16958.857890,3.767674,,0.000000
16958.857890,,3.964580,0.000000
17000.709835,3.763875,,0.000000
17000.709835,,3.960638,0.000000
17042.533883,3.759861,,0.000000
17042.533883,,3.956552,0.000000
17084.345869,3.756062,,0.000000
17084.345869,,3.952753,0.000000
17126.193863,3.752263,,0.000000
17126.193863,,3.948739,0.000000
17167.993873,3.748464,,0.000000
17167.993873,,3.945083,0.000000
17209.869857,3.744808,,0.000000
17209.869857,,3.941284,0.000000
17251.721814,3.740937,,0.000000
17251.721814,,3.937629,0.000000
17293.577826,3.737568,,0.000000
17293.577826,,3.933829,0.000000
17335.429867,3.733841,,0.000000
17335.429867,,3.930174,0.000000
17377.257844,3.730257,,0.000000
17377.257844,,3.926590,0.000000
17419.113826,3.726744,,0.000000
17419.113826,,3.922934,0.000000
17460.941819,3.723304,,0.000000
17460.941819,,3.919708,0.000000
17502.785802,3.719791,,0.000000
17502.785802,,3.916196,0.000000
17544.637853,3.716566,,0.000000
17544.637853,,3.912827,0.000000
17586.485861,3.713340,,0.000000
17586.485861,,3.909458,0.000000
17628.333676,3.709971,,0.000000
17628.333676,,3.906089,0.000000
17670.192650,3.706602,,0.000000
17670.192650,,3.902792,0.000000
17712.053861,3.703520,,0.000000
17712.053861,,3.899710,0.000000
17753.909813,3.700366,,0.000000
17753.909813,,3.896484,0.000000
17795.761807,3.697212,,0.000000
17795.761807,,3.893258,0.000000
17837.593833,3.693843,,0.000000
17837.593833,,3.890319,0.000000
17879.453838,3.691047,,0.000000
17879.453838,,3.887166,0.000000
17921.325879,3.687965,,0.000000
17921.325879,,3.884012,0.000000
17963.181948,3.684955,,0.000000
17963.181948,,3.881073,0.000000
18005.037878,3.682016,,0.000000
18005.037878,,3.877990,0.000000
18046.877890,3.679077,,0.000000
18046.877890,,3.874908,0.000000
18088.720733,3.676138,,0.000000
18088.720733,,3.872184,0.000000
18130.533807,3.673342,,0.000000
18130.533807,,3.869102,0.000000
18172.393937,3.670547,,0.000000
18172.393937,,3.866163,0.000000
18214.261848,3.667608,,0.000000
18214.261848,,3.863296,0.000000
18256.121849,3.664812,,0.000000
18256.121849,,3.860429,0.000000
18297.965887,3.661945,,0.000000
18297.965887,,3.857561,0.000000
18339.833859,3.659078,,0.000000
18339.833859,,3.854694,0.000000
18381.681852,3.656139,,0.000000
18381.681852,,3.851970,0.000000
18423.513882,3.653415,,0.000000
18423.513882,,3.848960,0.000000
18465.297884,3.650620,,0.000000
18465.297884,,3.846093,0.000000
18507.109833,3.647896,,0.000000
18507.109833,,3.843154,0.000000
18548.945888,3.644957,,0.000000
18548.945888,,3.840358,0.000000
18590.765873,3.642090,,0.000000
18590.765873,,3.837491,0.000000
18632.609931,3.639222,,0.000000
18632.609931,,3.834695,0.000000
18674.421944,3.636212,,0.000000
18674.421944,,3.831828,0.000000
18716.257845,3.633273,,0.000000
18716.257845,,3.828674,0.000000
18758.052757,3.630334,,0.000000
18758.052757,,3.825950,0.000000
18799.869889,3.627467,,0.000000
18799.869889,,3.823011,0.000000
18841.701887,3.624599,,0.000000
18841.701887,,3.820072,0.000000
18883.553892,3.621804,,0.000000
18883.553892,,3.817277,0.000000
18925.363386,3.618865,,0.000000
18925.363386,,3.814338,0.000000
18967.229911,3.615926,,0.000000
18967.229911,,3.811327,0.000000
19009.069186,3.612916,,0.000000
19009.069186,,3.808174,0.000000
19050.921873,3.609977,,0.000000
19050.921873,,3.805378,0.000000
19092.793933,3.607181,,0.000000
19092.793933,,3.802296,0.000000
19134.645955,3.604171,,0.000000
19134.645955,,3.799285,0.000000
19176.503041,3.601160,,0.000000
19176.503041,,3.796418,0.000000
19218.344704,3.598221,,0.000000
19218.344704,,3.793407,0.000000
19260.217887,3.594996,,0.000000
19260.217887,,3.790182,0.000000
19302.067055,3.592128,,0.000000
19302.067055,,3.787243,0.000000
19343.905873,3.589189,,0.000000
19343.905873,,3.784017,0.000000
19385.769927,3.586035,,0.000000
19385.769927,,3.781007,0.000000
19427.633890,3.582882,,0.000000
19427.633890,,3.777996,0.000000
19469.489842,3.579871,,0.000000
19469.489842,,3.774770,0.000000
19511.341974,3.576789,,0.000000
19511.341974,,3.771616,0.000000
19553.169907,3.573778,,0.000000
19553.169907,,3.768534,0.000000
19595.021878,3.570552,,0.000000
19595.021878,,3.765452,0.000000
19636.833888,3.567398,,0.000000
19636.833888,,3.762370,0.000000
19678.697888,3.564316,,0.000000
19678.697888,,3.759144,0.000000
19720.521916,3.561234,,0.000000
19720.521916,,3.755847,0.000000
19762.321893,3.558080,,0.000000
19762.321893,,3.752693,0.000000
19804.173894,3.554854,,0.000000
19804.173894,,3.749539,0.000000
19846.025891,3.551700,,0.000000
19846.025891,,3.746385,0.000000
19887.809860,3.548331,,0.000000
19887.809860,,3.743088,0.000000
19929.621860,3.545393,,0.000000
19929.621860,,3.739862,0.000000
19971.481923,3.542167,,0.000000
19971.481923,,3.736780,0.000000
20013.333865,3.539013,,0.000000
20013.333865,,3.733626,0.000000
20055.165847,3.535859,,0.000000
20055.165847,,3.730543,0.000000
20096.989861,3.532705,,0.000000
20096.989861,,3.727390,0.000000
20138.841870,3.529551,,0.000000
20138.841870,,3.724164,0.000000
20180.693862,3.526326,,0.000000
20180.693862,,3.721010,0.000000
20222.549855,3.523315,,0.000000
20222.549855,,3.717784,0.000000
20264.369725,3.520161,,0.000000
20264.369725,,3.714774,0.000000
20306.185886,3.517079,,0.000000
20306.185886,,3.711620,0.000000
20348.033873,3.514068,,0.000000
20348.033873,,3.708466,0.000000
20389.905889,3.510914,,0.000000
20389.905889,,3.705527,0.000000
20431.757845,3.507760,,0.000000
20431.757845,,3.702301,0.000000
20473.601884,3.504965,,0.000000
20473.601884,,3.699219,0.000000
20515.457898,3.501811,,0.000000
20515.457898,,3.696280,0.000000
20557.321873,3.499015,,0.000000
20557.321873,,3.693198,0.000000
20599.173846,3.496005,,0.000000
20599.173846,,3.690259,0.000000
20641.001865,3.492851,,0.000000
20641.001865,,3.687033,0.000000
20682.780720,3.489912,,0.000000
20682.780720,,3.684238,0.000000
20724.601871,3.487045,,0.000000
20724.601871,,3.681370,0.000000
20766.473861,3.484177,,0.000000
20766.473861,,3.678575,0.000000
20808.325890,3.481382,,0.000000
20808.325890,,3.675636,0.000000
20850.189851,3.478515,,0.000000
20850.189851,,3.672626,0.000000
20892.041871,3.475719,,0.000000
20892.041871,,3.669973,0.000000
20933.881897,3.472995,,0.000000
20933.881897,,3.667250,0.000000
20975.696733,3.470343,,0.000000
20975.696733,,3.664382,0.000000
21017.527603,3.467404,,0.000000
21017.527603,,3.661730,0.000000
21059.397962,3.464752,,0.000000
21059.397962,,3.659221,0.000000
21101.249870,3.462243,,0.000000
21101.249870,,3.656497,0.000000
21143.089865,3.459376,,0.000000
21143.089865,,3.653917,0.000000
21184.953866,3.456867,,0.000000
21184.953866,,3.651336,0.000000
21226.797856,3.454502,,0.000000
21226.797856,,3.648684,0.000000
21268.653864,3.451993,,0.000000
21268.653864,,3.646247,0.000000
21310.497846,3.449269,,0.000000
21310.497846,,3.643882,0.000000
21352.373885,3.446832,,0.000000
21352.373885,,3.641301,0.000000
21394.225826,3.444538,,0.000000
21394.225826,,3.638649,0.000000
21436.073733,3.442029,,0.000000
21436.073733,,3.636427,0.000000
21477.937863,3.439664,,0.000000
21477.937863,,3.633990,0.000000
21519.793866,3.437298,,0.000000
