total_wh, voltage_actual
0.000000,4.174820
0.046088,4.162562
0.092064,4.153817
0.137960,4.146793
0.183760,4.140556
0.229434,4.134822
0.275120,4.129518
0.320724,4.124643
0.366293,4.120056
0.411822,4.115611
0.457303,4.111382
0.502778,4.107512
0.548178,4.103497
0.593525,4.099985
0.638864,4.096401
0.684147,4.092817
0.729372,4.089376
0.774569,4.086151
0.819762,4.082710
0.864875,4.079413
0.909954,4.075972
0.954953,4.072675
0.999955,4.069592
1.044887,4.066152
1.089817,4.062711
1.134656,4.059127
1.179462,4.055687
1.224272,4.052174
1.269018,4.048590
1.313734,4.044791
1.358445,4.041064
1.403069,4.037193
1.447667,4.033179
1.492245,4.029451
1.536771,4.025437
1.581241,4.021423
1.625634,4.017337
1.669930,4.013323
1.714209,4.009166
1.758455,4.005080
1.802696,4.000851
1.846874,3.996765
1.891006,3.992751
1.935026,3.988809
1.979041,3.984651
2.023049,3.980565
2.066989,3.976551
2.110899,3.972537
2.154772,3.968523
2.198589,3.964580
2.242358,3.960638
2.286051,3.956552
2.329687,3.952753
2.373317,3.948739
2.416853,3.945083
2.460425,3.941284
2.503927,3.937629
2.547395,3.933829
2.590814,3.930174
2.634167,3.926590
2.677509,3.922934
2.720781,3.919708
2.764029,3.916196
2.807248,3.912827
2.850425,3.909458
2.893563,3.906089
2.936673,3.902792
2.979750,3.899710
3.022785,3.896484
3.065778,3.893258
3.108712,3.890319
3.151643,3.887166
3.194550,3.884012
3.237405,3.881073
3.280226,3.877990
3.322997,3.874908
3.365736,3.872184
3.408413,3.869102
3.451105,3.866163
3.493770,3.863296
3.536396,3.860429
3.578971,3.857561
3.621538,3.854694
3.664050,3.851970
3.706514,3.848960
3.748897,3.846093
3.791277,3.843154
3.833647,3.840358
3.875967,3.837491
3.918279,3.834695
3.960523,3.831828
4.002757,3.828674
4.044915,3.825950
4.087063,3.823011
4.129192,3.820072
4.171309,3.817277
4.213349,3.814338
4.255412,3.811327
4.297413,3.808174
4.339393,3.805378
4.381360,3.802296
4.423272,3.799285
4.465154,3.796418
4.506986,3.793407
4.548812,3.790182
4.590581,3.787243
4.632306,3.784017
4.674019,3.781007
4.715695,3.777996
4.757328,3.774770
4.798922,3.771616
4.840456,3.768534
4.881977,3.765452
4.923422,3.762370
4.964882,3.759144
5.006267,3.755847
5.047591,3.752693
5.088930,3.749539
5.130231,3.746385
5.171427,3.743088
