time,voltage,current
0.000000,3.298480,1.999394
0.519983,3.288073,1.999394
1.039978,3.285665,1.999341
1.559999,3.283933,1.999381
2.079984,3.282447,1.999354
2.599981,3.281100,1.999367
3.119975,3.279839,1.999341
3.640005,3.278649,1.999341
4.159997,3.277505,1.999354
4.679990,3.276413,1.999341
5.199959,3.275349,1.999341
5.720018,3.274321,1.999328
6.239978,3.273321,1.999367
6.759980,3.272346,1.999354
7.279973,3.271393,1.999315
7.799979,3.270465,1.999354
8.319978,3.269554,1.999354
8.839979,3.268657,1.999341
9.359981,3.267831,1.999341
9.879996,3.267039,1.999367
10.399987,3.266310,1.999354
10.919977,3.265598,1.999341
11.439974,3.264901,1.999341
11.959975,3.264182,1.999328
12.479980,3.263426,1.999341
12.999986,3.262669,1.999354
13.520034,3.261913,1.999341
14.039975,3.261162,1.999341
14.559963,3.260419,1.999341
15.079963,3.259687,1.999328
15.599952,3.258968,1.999302
16.119969,3.258252,1.999328
16.639978,3.257545,1.999289
17.160002,3.256847,1.999341
17.679963,3.256159,1.999328
18.199976,3.255476,1.999328
18.719972,3.254803,1.999341
19.239975,3.254136,1.999354
19.759968,3.253480,1.999354
20.279973,3.252824,1.999354
20.799971,3.252180,1.999367
21.319966,3.251544,1.999328
21.839975,3.250910,1.999341
22.359966,3.250286,1.999354
22.879953,3.249665,1.999381
23.399965,3.249054,1.999341
23.919970,3.248446,1.999354
24.439973,3.247847,1.999328
24.959985,3.247250,1.999328
25.479965,3.246660,1.999315
25.999971,3.246077,1.999315
26.519960,3.245496,1.999328
27.039961,3.244925,1.999354
27.559965,3.244357,1.999315
28.079961,3.243795,1.999328
28.599954,3.243235,1.999341
29.119945,3.242679,1.999341
29.639973,3.242133,1.999315
30.159992,3.241583,1.999354
30.679971,3.241046,1.999354
31.199989,3.240507,1.999354
31.719976,3.239982,1.999354
32.239984,3.239452,1.999328
32.759995,3.238929,1.999341
33.279983,3.238411,1.999328
33.799974,3.237896,1.999328
34.319981,3.237386,1.999276
34.839967,3.236876,1.999341
35.359969,3.236375,1.999354
35.880001,3.235873,1.999354
36.399991,3.235378,1.999367
36.919984,3.234884,1.999367
37.439962,3.234394,1.999381
37.959968,3.233907,1.999354
38.479965,3.233427,1.999354
38.999960,3.232949,1.999367
39.519972,3.232474,1.999367
40.039982,3.232003,1.999367
40.559981,3.231533,1.999367
41.079992,3.231069,1.999328
41.599980,3.230601,1.999354
42.119979,3.230141,1.999367
42.639981,3.229687,1.999354
43.160000,3.229233,1.999341
43.679979,3.228783,1.999367
44.199972,3.228332,1.999354
44.719959,3.227886,1.999341
45.239973,3.227446,1.999315
45.759981,3.227002,1.999354
46.279969,3.226567,1.999354
46.799965,3.226134,1.999367
47.319962,3.225700,1.999289
47.839952,3.225269,1.999354
48.359964,3.224841,1.999328
48.879971,3.224416,1.999341
49.399963,3.223997,1.999367
49.919969,3.223574,1.999341
50.439963,3.223157,1.999354
50.959951,3.222740,1.999367
51.479965,3.222328,1.999354
51.999976,3.221915,1.999302
52.519961,3.221506,1.999367
53.039962,3.221102,1.999381
53.559962,3.220694,1.999354
54.079967,3.220292,1.999407
54.599967,3.219893,1.999381
55.119965,3.219494,1.999367
55.639976,3.219099,1.999381
56.160040,3.218699,1.999367
56.679976,3.218310,1.999367
57.199977,3.217915,1.999367
57.719973,3.217530,1.999354
58.239981,3.217142,1.999367
