total_wh, voltage_actual
0.000000,4.118694
0.045252,4.113389
0.090451,4.108587
0.135563,4.104286
0.180681,4.099985
0.225770,4.096186
0.270815,4.092244
0.315814,4.088731
0.360793,4.085219
0.405728,4.081778
0.450632,4.078481
0.495460,4.075184
0.540258,4.071886
0.585020,4.068589
0.629739,4.065507
0.674415,4.062066
0.719095,4.058840
0.763681,4.055113
0.808183,4.052102
0.852679,4.048447
0.897177,4.045006
0.941601,4.041494
0.986013,4.037623
1.030321,4.034111
1.074639,4.030383
1.118917,4.026512
1.163106,4.022570
1.207262,4.018628
1.251398,4.014542
1.295523,4.010743
1.339590,4.006657
1.383580,4.002571
1.427574,3.998485
1.471517,3.994543
1.515426,3.990314
1.559263,3.986300
1.603064,3.981999
1.646778,3.977985
1.690487,3.974042
1.734173,3.969885
1.777805,3.965942
1.821369,3.961928
1.864882,3.957628
1.908328,3.953685
1.951739,3.949886
1.995129,3.945943
2.038464,3.942216
2.081760,3.938130
2.124951,3.934475
2.168133,3.930676
2.211316,3.927091
2.254460,3.923436
2.297538,3.919708
2.340565,3.916268
2.383576,3.912612
2.426537,3.909100
2.469443,3.905587
2.512344,3.902147
2.555207,3.898778
2.598026,3.895624
2.640792,3.892398
2.683501,3.889101
2.726169,3.885875
2.768813,3.882721
2.811420,3.879496
2.853980,3.876628
2.896539,3.873546
2.939018,3.870392
2.981473,3.867382
3.023934,3.864443
3.066328,3.861289
3.108730,3.858565
3.151104,3.855411
3.193406,3.852831
3.235673,3.849748
3.277926,3.846881
3.320166,3.843942
3.362341,3.841146
3.404504,3.838208
3.446667,3.835269
3.488740,3.832545
3.530837,3.829606
3.572871,3.826739
3.614878,3.823800
3.656843,3.820861
3.698778,3.817922
3.740663,3.814983
3.782475,3.812044
3.824292,3.809034
3.866092,3.806166
3.907819,3.803156
3.949534,3.800145
3.991221,3.797278
4.032857,3.794339
4.074492,3.791329
4.116088,3.788103
4.157654,3.785021
4.199178,3.782082
4.240674,3.779143
4.282134,3.775845
4.323549,3.772907
4.364941,3.769896
4.406295,3.766742
4.447608,3.763732
4.488867,3.760291
4.530065,3.757137
4.571261,3.754198
4.612404,3.750829
4.653513,3.747603
4.694609,3.744736
4.735634,3.741367
4.776668,3.738357
4.817639,3.734988
4.858609,3.731977
4.899501,3.728751
4.940406,3.725669
4.981230,3.722443
5.022056,3.719218
5.062817,3.716064
5.103561,3.713053
5.144234,3.709971
5.184852,3.706674
5.225445,3.703520
5.266002,3.700581
5.306547,3.697355
5.347022,3.694488
5.387477,3.691406
5.427890,3.688324
5.468310,3.685313
5.508693,3.682302
5.549039,3.679435
5.589326,3.676640
5.629577,3.673557
5.669828,3.670690
5.710039,3.667895
5.750215,3.665242
5.790338,3.662160
5.830477,3.659580
5.870561,3.656784
5.910598,3.654132
5.950612,3.651551
5.990593,3.648899
6.030549,3.646032
6.070479,3.643738
6.110327,3.641229
6.150195,3.638434
6.190056,3.636140
6.229868,3.633703
6.269654,3.631123
6.309396,3.628757
6.349133,3.626463
6.388832,3.624098
6.428480,3.621589
6.468055,3.619510
6.507632,3.617216
6.547217,3.614923
6.586732,3.612844
6.626238,3.610550
6.665728,3.608113
6.705177,3.605963
6.744652,3.604027
6.784095,3.601733
6.823510,3.599655
6.862894,3.597576
6.902272,3.595569
6.941609,3.593490
6.980929,3.591411
7.020223,3.589333
7.059487,3.587182
7.098714,3.585104
7.137875,3.583096
7.177045,3.581161
7.216203,3.579154
7.255369,3.577147
7.294474,3.575140
7.333603,3.573276
7.372668,3.571197
7.411707,3.569262
7.450709,3.567112
7.489716,3.565320
7.528705,3.563456
7.567653,3.561521
7.606604,3.559442
7.645508,3.557507
7.684413,3.555571
7.723285,3.553564
7.762122,3.551485
7.800937,3.549693
7.839742,3.547615
7.878544,3.545823
7.917295,3.543816
7.956029,3.541809
7.994718,3.539945
8.033422,3.537794
8.072030,3.535859
8.110645,3.533709
8.149275,3.531917
8.187837,3.529838
8.226340,3.527974
8.264832,3.525680
8.303344,3.523673
8.341838,3.521595
8.380301,3.519444
8.418733,3.517437
8.457107,3.515287
8.495484,3.513136
8.533810,3.510986
8.572135,3.508907
8.610463,3.506542
8.648745,3.504319
8.686979,3.502098
8.725174,3.499875
8.763372,3.497653
8.801557,3.495431
8.839695,3.492994
8.877804,3.490629
8.915907,3.488263
8.953968,3.485826
8.991988,3.483389
9.029995,3.480880
9.067964,3.478371
9.105900,3.475647
9.143817,3.473210
9.181690,3.470701
9.219535,3.468121
9.257326,3.465254
9.295064,3.462601
9.332774,3.459806
9.370463,3.456867
9.408102,3.454430
9.445701,3.451563
9.483323,3.448552
9.520889,3.445685
